ImagePath,super_conf,super_class,sub_conf,sub_class,subtwo_conf,subtwo_class,Layer_1_ans,Layer_1_conf,Layer_2_ans,Layer_2_conf,Layer_3_ans,Layer_3_conf,Layer_1_True,Layer_2_True,Layer_3_True
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_813B5286C0EE-1-3.jpg,"['0.9998', '0.0001']","['CF', 'TFT']","['0.6267', '0.3653', '0.0073', '0.0005']","['OP', 'NP', 'UP', 'INT']","['0.4386', '0.3254', '0.1636', '0.0499', '0.0121']","['FIBER', 'CF REPAIR FAIL', 'POLYMER', 'CF DEFECT', 'GLASS CULLET']",CF,0.9998,OP,0.4386,FIBER,0.6267,CF,OP,FIBER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B4X04UA-1-3.jpg,"['1.0', '4.2239']","['TFT', 'CF']","['0.7197', '0.2213', '0.0589', '2.1376']","['NP', 'UP', 'OP', 'INT']","['0.7491', '0.1523', '0.0900', '0.0058', '0.0012']","['PV-HOLE-T', 'PI SPOT-WITH PAR', 'POLYMER', 'FIBER', 'ITO-RESIDUE-T']",TFT,1.0,NP,0.7491,PV-HOLE-T,0.7197,TFT,NP,PV-HOLE-T
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4WZ62E-1-3.jpg,"['0.9997', '0.0002']","['CF', 'TFT']","['0.9974', '0.0024', '6.5594', '6.0680']","['NP', 'OP', 'UP', 'INT']","['0.9371', '0.0363', '0.0234', '0.0027', '0.0001']","['CF PS DEFORMATION', 'CF DEFECT', 'CF REPAIR FAIL', 'GLASS CULLET', 'POLYMER']",CF,0.9997,NP,0.9371,CF PS DEFORMATION,0.9974,CF,NP,CF PS DEFORMATION
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ESD@INT@TFT@Cell_B6091NM-1-4.jpg,"['0.9999', '8.7507']","['TFT', 'CF']","['0.4756', '0.3784', '0.1414', '0.0044']","['UP', 'OP', 'INT', 'NP']","['0.9736', '0.0214', '0.0025', '0.0014', '0.0003']","['POLYMER', 'GLASS BROKEN', 'M1-ABNORMAL', 'FIBER', 'ESD']",TFT,0.9999,UP,0.9736,POLYMER,0.4756,TFT,INT,ESD
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_B52E23E-1-3.jpg,"['0.9999', '1.6793']","['CF', 'TFT']","['0.9989', '0.0010', '5.3895', '1.0406']","['UP', 'NP', 'OP', 'INT']","['0.9961', '0.0018', '0.0012', '0.0007', '1.0184']","['PI SPOT-WITH PAR', 'LIGHT METAL', 'CF DEFECT', 'CF REPAIR FAIL', 'PV-HOLE-T']",CF,0.9999,UP,0.9961,PI SPOT-WITH PAR,0.9989,CF,UP,PI SPOT-WITH PAR
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B4VW1YC-1-3.jpg,"['0.9998', '0.0001']","['CF', 'TFT']","['0.9997', '0.0001', '6.4306', '2.4542']","['NP', 'INT', 'OP', 'UP']","['0.9982', '0.0015', '0.0001', '1.5663', '1.0206']","['CF DEFECT', 'CF REPAIR FAIL', 'CF PS DEFORMATION', 'POLYMER', 'GLASS CULLET']",CF,0.9998,NP,0.9982,CF DEFECT,0.9997,CF,NP,CF DEFECT
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B51D0AT-1-3.jpg,"['0.9998', '0.0001']","['TFT', 'CF']","['0.9714', '0.0173', '0.0111', '2.2085']","['UP', 'OP', 'NP', 'INT']","['0.9712', '0.0139', '0.0114', '0.0019', '0.0006']","['PI SPOT-WITH PAR', 'POLYMER', 'FIBER', 'PV-HOLE-T', 'CF REPAIR FAIL']",TFT,0.9998,UP,0.9712,PI SPOT-WITH PAR,0.9714,TFT,UP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B5AZ6CT-1-3.jpg,"['0.9997', '0.0002']","['TFT', 'CF']","['0.9664', '0.0221', '0.0114', '1.2115']","['UP', 'OP', 'NP', 'INT']","['0.6803', '0.2378', '0.0653', '0.0120', '0.0013']","['PI SPOT-WITH PAR', 'POLYMER', 'FIBER', 'PV-HOLE-T', 'CF REPAIR FAIL']",TFT,0.9997,UP,0.6803,PI SPOT-WITH PAR,0.9664,TFT,UP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B61V4MF-1-3.jpg,"['0.9998', '0.0001']","['CF', 'TFT']","['0.9398', '0.0593', '0.0004', '0.0003']","['NP', 'OP', 'INT', 'UP']","['0.8986', '0.0574', '0.0265', '0.0148', '0.0020']","['CF REPAIR FAIL', 'POLYMER', 'CF DEFECT', 'FIBER', 'GLASS CULLET']",CF,0.9998,NP,0.8986,CF REPAIR FAIL,0.9398,CF,NP,CF DEFECT
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B4VE9XC-1-3.jpg,"['0.9999', '4.5094']","['TFT', 'CF']","['0.7862', '0.2061', '0.0076', '7.5646']","['UP', 'OP', 'NP', 'INT']","['0.9714', '0.0254', '0.0024', '0.0005', '6.3402']","['FIBER', 'POLYMER', 'PI SPOT-WITH PAR', 'PV-HOLE-T', 'AS-RESIDUE-E']",TFT,0.9999,UP,0.9714,FIBER,0.7862,TFT,OP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/LIGHT METAL@UP@CF@Cell_B15C8PC-1-3.jpg,"['0.9999', '1.1127']","['CF', 'TFT']","['0.6866', '0.2452', '0.0675', '0.0005']","['UP', 'OP', 'NP', 'INT']","['0.9014', '0.0570', '0.0182', '0.0094', '0.0092']","['LIGHT METAL', 'GLASS CULLET', 'CF REPAIR FAIL', 'FIBER', 'POLYMER']",CF,0.9999,UP,0.9014,LIGHT METAL,0.6866,CF,UP,LIGHT METAL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5BJ8UC-1-4.jpg,"['1.0', '3.5545']","['TFT', 'CF']","['0.9999', '9.3354', '2.9123', '4.3264']","['NP', 'OP', 'INT', 'UP']","['0.9864', '0.0133', '0.0001', '3.8456', '8.0184']","['M1-ABNORMAL', 'AS-RESIDUE-E', 'ITO-RESIDUE-T', 'PV-HOLE-T', 'POLYMER']",TFT,1.0,NP,0.9864,M1-ABNORMAL,0.9999,TFT,NP,AS-RESIDUE-E
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B4VV5MC-1-3.jpg,"['0.9994', '0.0005']","['TFT', 'CF']","['0.9682', '0.0190', '0.0126', '7.6278']","['OP', 'UP', 'NP', 'INT']","['0.7539', '0.2129', '0.0205', '0.0116', '0.0005']","['POLYMER', 'FIBER', 'PV-HOLE-T', 'PI SPOT-WITH PAR', 'GLASS CULLET']",TFT,0.9994,OP,0.7539,POLYMER,0.9682,TFT,OP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B58Q0PG-1-3.jpg,"['0.9941', '0.0058']","['TFT', 'CF']","['0.7768', '0.2040', '0.0186', '0.0004']","['UP', 'OP', 'NP', 'INT']","['0.4973', '0.4236', '0.0391', '0.0111', '0.0093']","['POLYMER', 'PI SPOT-WITH PAR', 'FIBER', 'GLASS CULLET', 'CF REPAIR FAIL']",TFT,0.9941,UP,0.4973,POLYMER,0.7768,TFT,UP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/M1-ABNORMAL@NP@TFT@Array_B4S763A-1-3.jpg,"['0.9996', '0.0003']","['TFT', 'CF']","['0.9014', '0.0547', '0.0435', '0.0002']","['NP', 'OP', 'UP', 'INT']","['0.5752', '0.2071', '0.1310', '0.0486', '0.0255']","['PV-HOLE-T', 'ITO-RESIDUE-T', 'M1-ABNORMAL', 'PI SPOT-WITH PAR', 'POLYMER']",TFT,0.9996,NP,0.5752,PV-HOLE-T,0.9014,TFT,NP,M1-ABNORMAL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/M1-ABNORMAL@NP@TFT@Array_B4MA0UR-1-3.jpg,"['0.9999', '7.2310']","['TFT', 'CF']","['0.9728', '0.0133', '0.0124', '0.0012']","['UP', 'NP', 'OP', 'INT']","['0.9155', '0.0831', '0.0006', '0.0002', '0.0002']","['PI SPOT-WITH PAR', 'FIBER', 'CF REPAIR FAIL', 'CF PS DEFORMATION', 'POLYMER']",TFT,0.9999,UP,0.9155,PI SPOT-WITH PAR,0.9728,TFT,NP,M1-ABNORMAL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B54H6MB-1-3.jpg,"['0.9999', '3.6874']","['TFT', 'CF']","['0.9930', '0.0067', '0.0002', '5.9416']","['NP', 'OP', 'UP', 'INT']","['0.9433', '0.0416', '0.0104', '0.0023', '0.0012']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'PV-HOLE-T', 'AS-RESIDUE-E', 'POLYMER']",TFT,0.9999,NP,0.9433,ITO-RESIDUE-T,0.9930,TFT,NP,ITO-RESIDUE-T
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@CF@Cell_B59E5QM-1-3.jpg,"['0.9998', '0.0001']","['CF', 'TFT']","['0.9999', '5.8570', '4.0638', '9.3328']","['OP', 'NP', 'UP', 'INT']","['0.9974', '0.0025', '1.4688', '8.2802', '6.1181']","['POLYMER', 'GLASS CULLET', 'PV-HOLE-T', 'FIBER', 'CF DEFECT']",CF,0.9998,OP,0.9974,POLYMER,0.9999,CF,OP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ESD@INT@TFT@Cell_B33W8ME-1-1.jpg,"['1.0', '6.1771']","['TFT', 'CF']","['1.0', '1.4553', '8.2899', '5.5553']","['INT', 'OP', 'UP', 'NP']","['1.0', '5.9873', '1.2868', '4.0297', '3.1052']","['ESD', 'M1-ABNORMAL', 'GLASS BROKEN', 'POLYMER', 'PV-HOLE-T']",TFT,1.0,INT,1.0,ESD,1.0,TFT,INT,ESD
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS CULLET@OP@CF@Cell_B4RR0TL-1-3.jpg,"['0.9993', '0.0006']","['CF', 'TFT']","['0.9996', '0.0002', '5.1928', '4.7762']","['OP', 'NP', 'UP', 'INT']","['0.9706', '0.0288', '0.0002', '0.0001', '5.7623']","['GLASS CULLET', 'POLYMER', 'CF DEFECT', 'FIBER', 'LIGHT METAL']",CF,0.9993,OP,0.9706,GLASS CULLET,0.9996,CF,OP,GLASS CULLET
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4WZ9JF-1-3.jpg,"['0.9999', '3.5108']","['CF', 'TFT']","['0.9961', '0.0038', '2.4876', '3.6202']","['NP', 'OP', 'UP', 'INT']","['0.7974', '0.1860', '0.0129', '0.0019', '0.0007']","['CF REPAIR FAIL', 'CF PS DEFORMATION', 'CF DEFECT', 'FIBER', 'POLYMER']",CF,0.9999,NP,0.7974,CF REPAIR FAIL,0.9961,CF,NP,CF PS DEFORMATION
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5868YA-1-5.jpg,"['1.0', '1.1925']","['TFT', 'CF']","['0.9989', '0.0009', '7.3632', '3.3954']","['NP', 'OP', 'UP', 'INT']","['0.7470', '0.2456', '0.0047', '0.0020', '0.0005']","['AS-RESIDUE-E', 'M1-ABNORMAL', 'PV-HOLE-T', 'POLYMER', 'ITO-RESIDUE-T']",TFT,1.0,NP,0.7470,AS-RESIDUE-E,0.9989,TFT,NP,AS-RESIDUE-E
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS CULLET@OP@CF@Cell_B4UZ7CN-1-3.jpg,"['0.9447', '0.0552']","['CF', 'TFT']","['0.9064', '0.0493', '0.0407', '0.0034']","['NP', 'UP', 'INT', 'OP']","['0.3142', '0.2716', '0.1692', '0.0586', '0.0515']","['CF DEFECT', 'CF PS DEFORMATION', 'CF REPAIR FAIL', 'PI SPOT-WITH PAR', 'GLASS CULLET']",CF,0.9447,NP,0.3142,CF DEFECT,0.9064,CF,OP,GLASS CULLET
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B61Y7QT-1-3.jpg,"['0.9999', '6.4096']","['CF', 'TFT']","['0.9915', '0.0082', '0.0002', '1.0872']","['NP', 'OP', 'UP', 'INT']","['0.8988', '0.0631', '0.0295', '0.0037', '0.0028']","['CF REPAIR FAIL', 'CF DEFECT', 'CF PS DEFORMATION', 'POLYMER', 'FIBER']",CF,0.9999,NP,0.8988,CF REPAIR FAIL,0.9915,CF,NP,CF REPAIR FAIL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B4RA4RD-1-3.jpg,"['0.9991', '0.0008']","['TFT', 'CF']","['0.7969', '0.1918', '0.0111', '5.3359']","['UP', 'OP', 'NP', 'INT']","['0.8373', '0.0905', '0.0672', '0.0016', '0.0009']","['PI SPOT-WITH PAR', 'FIBER', 'POLYMER', 'PV-HOLE-T', 'CF REPAIR FAIL']",TFT,0.9991,UP,0.8373,PI SPOT-WITH PAR,0.7969,TFT,UP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ESD@INT@TFT@Cell_B27X01L-1-1.jpg,"['0.9589', '0.0410']","['TFT', 'CF']","['0.9973', '0.0025', '2.5953', '8.4068']","['INT', 'OP', 'UP', 'NP']","['0.9872', '0.0122', '0.0002', '0.0001', '8.7720']","['ESD', 'GLASS BROKEN', 'GLASS CULLET', 'PV-HOLE-T', 'POLYMER']",TFT,0.9589,INT,0.9872,ESD,0.9973,TFT,INT,ESD
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_B4LP8XG-1-3.jpg,"['0.9999', '1.3265']","['TFT', 'CF']","['0.8803', '0.0954', '0.0231', '0.0010']","['UP', 'OP', 'INT', 'NP']","['0.8418', '0.0958', '0.0516', '0.0070', '0.0014']","['PI SPOT-WITH PAR', 'POLYMER', 'FIBER', 'ESD', 'M1-ABNORMAL']",TFT,0.9999,UP,0.8418,PI SPOT-WITH PAR,0.8803,TFT,UP,FIBER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/M1-ABNORMAL@NP@TFT@Array_BBKP73S-1-3.jpg,"['1.0', '3.1297']","['TFT', 'CF']","['0.9999', '1.6108', '2.2134', '1.0763']","['NP', 'UP', 'OP', 'INT']","['0.9998', '0.0001', '1.4567', '2.7943', '1.1516']","['M1-ABNORMAL', 'ITO-RESIDUE-T', 'PV-HOLE-T', 'AS-RESIDUE-E', 'CF PS DEFORMATION']",TFT,1.0,NP,0.9998,M1-ABNORMAL,0.9999,TFT,NP,M1-ABNORMAL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B67F2UJ-1-5.jpg,"['1.0', '9.2972']","['TFT', 'CF']","['0.9999', '4.0124', '1.2167', '5.3329']","['NP', 'OP', 'UP', 'INT']","['0.9244', '0.0751', '0.0001', '0.0001', '3.5851']","['AS-RESIDUE-E', 'M1-ABNORMAL', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'POLYMER']",TFT,1.0,NP,0.9244,AS-RESIDUE-E,0.9999,TFT,NP,AS-RESIDUE-E
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5BJ8UC-1-5.jpg,"['1.0', '9.5194']","['TFT', 'CF']","['0.9941', '0.0058', '1.9469', '3.3627']","['NP', 'OP', 'UP', 'INT']","['0.7556', '0.2177', '0.0193', '0.0040', '0.0032']","['AS-RESIDUE-E', 'M1-ABNORMAL', 'PV-HOLE-T', 'POLYMER', 'ITO-RESIDUE-T']",TFT,1.0,NP,0.7556,AS-RESIDUE-E,0.9941,TFT,NP,AS-RESIDUE-E
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B55P0CP-1-3.jpg,"['0.9999', '5.3382']","['CF', 'TFT']","['0.9975', '0.0023', '6.1870', '4.8437']","['NP', 'OP', 'UP', 'INT']","['0.7075', '0.2385', '0.0318', '0.0217', '9.8198']","['CF DEFECT', 'CF PS DEFORMATION', 'CF REPAIR FAIL', 'GLASS CULLET', 'POLYMER']",CF,0.9999,NP,0.7075,CF DEFECT,0.9975,CF,NP,CF DEFECT
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_B4U77KL-1-5.jpg,"['0.9978', '0.0021']","['CF', 'TFT']","['0.8359', '0.1519', '0.0120', '8.0090']","['UP', 'NP', 'OP', 'INT']","['0.8279', '0.1029', '0.0533', '0.0067', '0.0062']","['PI SPOT-WITH PAR', 'CF REPAIR FAIL', 'CF DEFECT', 'FIBER', 'POLYMER']",CF,0.9978,UP,0.8279,PI SPOT-WITH PAR,0.8359,CF,UP,PI SPOT-WITH PAR
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/LIGHT METAL@UP@CF@Cell_B38N2AB-1-3.jpg,"['0.9999', '5.1402']","['CF', 'TFT']","['0.9948', '0.0050', '0.0001', '4.4809']","['UP', 'OP', 'NP', 'INT']","['0.9978', '0.0015', '0.0003', '0.0001', '4.7540']","['LIGHT METAL', 'POLYMER', 'FIBER', 'GLASS CULLET', 'PI SPOT-WITH PAR']",CF,0.9999,UP,0.9978,LIGHT METAL,0.9948,CF,UP,LIGHT METAL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B4X284T-1-3.jpg,"['0.9999', '4.7807']","['TFT', 'CF']","['0.9905', '0.0088', '0.0006', '3.1265']","['NP', 'OP', 'UP', 'INT']","['0.7582', '0.2105', '0.0204', '0.0052', '0.0028']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'PV-HOLE-T', 'AS-RESIDUE-E', 'CF PS DEFORMATION']",TFT,0.9999,NP,0.7582,ITO-RESIDUE-T,0.9905,TFT,NP,ITO-RESIDUE-T
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B4VL0BB-1-3.jpg,"['0.9994', '0.0005']","['CF', 'TFT']","['0.9990', '0.0007', '0.0001', '4.0734']","['NP', 'OP', 'INT', 'UP']","['0.9118', '0.0700', '0.0154', '0.0016', '0.0006']","['CF DEFECT', 'CF REPAIR FAIL', 'CF PS DEFORMATION', 'POLYMER', 'GLASS CULLET']",CF,0.9994,NP,0.9118,CF DEFECT,0.9990,CF,NP,CF DEFECT
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B5AY0AQ-1-3.jpg,"['1.0', '4.8219']","['TFT', 'CF']","['0.9980', '0.0017', '0.0001', '2.5500']","['NP', 'OP', 'UP', 'INT']","['0.8153', '0.1818', '0.0016', '0.0004', '0.0003']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'PV-HOLE-T', 'PI SPOT-WITH PAR', 'AS-RESIDUE-E']",TFT,1.0,NP,0.8153,ITO-RESIDUE-T,0.9980,TFT,NP,ITO-RESIDUE-T
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B5D78PC-1-3.jpg,"['0.9999', '4.2399']","['TFT', 'CF']","['0.9931', '0.0064', '0.0003', '1.8527']","['NP', 'OP', 'UP', 'INT']","['0.6599', '0.3143', '0.0094', '0.0082', '0.0066']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'AS-RESIDUE-E', 'POLYMER', 'PV-HOLE-T']",TFT,0.9999,NP,0.6599,ITO-RESIDUE-T,0.9931,TFT,NP,PV-HOLE-T
