ImagePath,Layer_1_True,Layer_1_ans,Layer_1_conf,Layer_2_True,Layer_2_ans,Layer_2_conf,Layer_3_True,Layer_3_ans,Layer_3_conf,sub_class,sub_conf,subtwo_class,subtwo_conf,super_class,super_conf
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5867PQ-1-2.jpg,TFT,TFT,0.9996,NP,NP,0.8567,AS-RESIDUE-E,AS-RESIDUE-E,0.7086,"['NP', 'UP', 'OP', 'INT']","['0.7086', '0.2907', '0.0004', '0.0002']","['AS-RESIDUE-E', 'PV-HOLE-T', 'PI SPOT-WITH PAR', 'ITO-RESIDUE-T', 'LIGHT METAL']","['0.8567', '0.0670', '0.0287', '0.0266', '0.0073']","['TFT', 'CF']","['0.9996', '0.0003']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B57D92B-1-3.jpg,CF,CF,0.9999,OP,OP,0.3389,FIBER,GLASS CULLET,0.9999,"['OP', 'NP', 'UP', 'INT']","['0.9999', '8.1015', '6.4876', '5.9826']","['GLASS CULLET', 'FIBER', 'POLYMER', 'CF REPAIR FAIL', 'CF DEFECT']","['0.3389', '0.3382', '0.3219', '0.0007', '6.9571']","['CF', 'TFT']","['0.9999', '7.6412']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS BROKEN@INT@TFT@Cell_5L3B50E9T0SD-1-3.jpg,TFT,TFT,0.9999,INT,INT,0.9917,GLASS BROKEN,GLASS BROKEN,0.9999,"['INT', 'NP', 'UP', 'OP']","['0.9999', '2.6592', '2.2185', '3.1807']","['GLASS BROKEN', 'ESD', 'M1-ABNORMAL', 'CF DEFECT', 'PV-HOLE-T']","['0.9917', '0.0081', '4.6749', '2.5430', '2.3880']","['TFT', 'CF']","['0.9999', '8.5220']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B60K3SK-1-3.jpg,CF,CF,0.9999,NP,NP,0.9894,CF REPAIR FAIL,CF REPAIR FAIL,0.9817,"['NP', 'OP', 'INT', 'UP']","['0.9817', '0.0182', '3.7273', '3.7710']","['CF REPAIR FAIL', 'FIBER', 'CF DEFECT', 'POLYMER', 'CF PS DEFORMATION']","['0.9894', '0.0050', '0.0023', '0.0019', '0.0006']","['CF', 'TFT']","['0.9999', '6.4478']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B5BL4HF-1-3.jpg,TFT,TFT,0.9999,OP,NP,0.9300,POLYMER,PV-HOLE-T,0.9000,"['NP', 'UP', 'OP', 'INT']","['0.9000', '0.0931', '0.0067', '1.3594']","['PV-HOLE-T', 'PI SPOT-WITH PAR', 'ITO-RESIDUE-T', 'POLYMER', 'M1-ABNORMAL']","['0.9300', '0.0260', '0.0173', '0.0142', '0.0062']","['TFT', 'CF']","['0.9999', '4.1008']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B5D73XS-1-3.jpg,TFT,TFT,0.9997,UP,NP,0.7522,POLYMER,PV-HOLE-T,0.5160,"['NP', 'UP', 'OP', 'INT']","['0.5160', '0.4631', '0.0207', '1.6866']","['PV-HOLE-T', 'PI SPOT-WITH PAR', 'POLYMER', 'FIBER', 'M1-ABNORMAL']","['0.7522', '0.1284', '0.1001', '0.0117', '0.0033']","['TFT', 'CF']","['0.9997', '0.0002']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@CF@Cell_B57S1MF-1-3.jpg,CF,CF,0.9999,OP,OP,0.8135,POLYMER,GLASS CULLET,0.9999,"['OP', 'NP', 'INT', 'UP']","['0.9999', '2.3363', '1.2817', '4.3436']","['GLASS CULLET', 'POLYMER', 'FIBER', 'CF REPAIR FAIL', 'CF DEFECT']","['0.8135', '0.1863', '4.8119', '2.1874', '2.0841']","['CF', 'TFT']","['0.9999', '5.0116']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_B95E3EM-1-3.jpg,TFT,TFT,0.9999,UP,UP,0.8264,FIBER,FIBER,0.9567,"['UP', 'NP', 'OP', 'INT']","['0.9567', '0.0376', '0.0055', '6.7211']","['FIBER', 'PI SPOT-WITH PAR', 'PV-HOLE-T', 'POLYMER', 'AS-RESIDUE-E']","['0.8264', '0.0879', '0.0687', '0.0160', '0.0004']","['TFT', 'CF']","['0.9999', '1.5056']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@TFT@Cell_B58Q52T-1-3.jpg,TFT,TFT,0.9998,UP,NP,0.4324,PI SPOT-WITH PAR,ITO-RESIDUE-T,0.7651,"['NP', 'UP', 'OP', 'INT']","['0.7651', '0.1258', '0.0640', '0.0449']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'PI SPOT-WITH PAR', 'POLYMER', 'PV-HOLE-T']","['0.4324', '0.1814', '0.1122', '0.1055', '0.0757']","['TFT', 'CF']","['0.9998', '0.0001']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B57S1HN-1-3.jpg,TFT,TFT,0.9999,OP,UP,0.5630,POLYMER,POLYMER,0.7194,"['UP', 'OP', 'NP', 'INT']","['0.7194', '0.1799', '0.1006', '1.1132']","['POLYMER', 'PV-HOLE-T', 'PI SPOT-WITH PAR', 'FIBER', 'M1-ABNORMAL']","['0.5630', '0.3848', '0.0267', '0.0230', '0.0014']","['TFT', 'CF']","['0.9999', '2.4762']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B4U62GC-1-3.jpg,TFT,TFT,0.9994,NP,UP,0.8890,PV-HOLE-T,FIBER,0.9984,"['UP', 'NP', 'OP', 'INT']","['0.9984', '0.0015', '1.7036', '1.1340']","['FIBER', 'PI SPOT-WITH PAR', 'POLYMER', 'CF DEFECT', 'PV-HOLE-T']","['0.8890', '0.1097', '0.0003', '0.0002', '0.0001']","['TFT', 'CF']","['0.9994', '0.0005']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ESD@INT@TFT@Cell_B32S1BD-1-1.jpg,TFT,TFT,0.9999,INT,INT,0.9993,ESD,ESD,0.9999,"['INT', 'NP', 'UP', 'OP']","['0.9999', '9.8739', '1.9357', '1.9122']","['ESD', 'GLASS BROKEN', 'PV-HOLE-T', 'M1-ABNORMAL', 'CF REPAIR FAIL']","['0.9993', '0.0006', '5.7040', '3.8613', '1.4268']","['TFT', 'CF']","['0.9999', '4.0021']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS CULLET@OP@CF@Cell_B5AS4CB-1-3.jpg,CF,CF,0.9999,OP,OP,0.9056,GLASS CULLET,GLASS CULLET,0.9947,"['OP', 'NP', 'UP', 'INT']","['0.9947', '0.0052', '9.1393', '5.1991']","['GLASS CULLET', 'POLYMER', 'CF REPAIR FAIL', 'FIBER', 'CF DEFECT']","['0.9056', '0.0690', '0.0158', '0.0068', '0.0025']","['CF', 'TFT']","['0.9999', '2.3853']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B5B27LC-2-3.jpg,CF,CF,0.9999,OP,OP,0.8216,FIBER,POLYMER,0.9945,"['OP', 'NP', 'UP', 'INT']","['0.9945', '0.0053', '1.6027', '5.4773']","['POLYMER', 'FIBER', 'GLASS CULLET', 'CF REPAIR FAIL', 'CF DEFECT']","['0.8216', '0.1036', '0.0653', '0.0066', '0.0020']","['CF', 'TFT']","['0.9999', '2.2983']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5868YA-1-5.jpg,TFT,TFT,1.0,NP,NP,0.7658,AS-RESIDUE-E,M1-ABNORMAL,0.9966,"['NP', 'INT', 'OP', 'UP']","['0.9966', '0.0029', '0.0001', '0.0001']","['M1-ABNORMAL', 'AS-RESIDUE-E', 'PV-HOLE-T', 'GLASS BROKEN', 'POLYMER']","['0.7658', '0.1350', '0.0770', '0.0200', '0.0008']","['TFT', 'CF']","['1.0', '3.8730']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B55P0CP-1-3.jpg,CF,CF,0.9999,NP,NP,0.8836,CF DEFECT,CF REPAIR FAIL,0.9983,"['NP', 'OP', 'INT', 'UP']","['0.9983', '0.0016', '4.2995', '2.5538']","['CF REPAIR FAIL', 'CF DEFECT', 'CF PS DEFORMATION', 'GLASS CULLET', 'POLYMER']","['0.8836', '0.1111', '0.0025', '0.0024', '9.8508']","['CF', 'TFT']","['0.9999', '3.9119']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B59E44Q-1-3.jpg,CF,CF,0.9999,NP,NP,0.8271,CF DEFECT,CF DEFECT,0.9792,"['NP', 'OP', 'UP', 'INT']","['0.9792', '0.0202', '0.0004', '2.5383']","['CF DEFECT', 'GLASS CULLET', 'CF PS DEFORMATION', 'CF REPAIR FAIL', 'LIGHT METAL']","['0.8271', '0.1070', '0.0329', '0.0320', '0.0003']","['CF', 'TFT']","['0.9999', '9.4811']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B5581MH-1-3.jpg,CF,CF,0.9999,OP,OP,0.9928,FIBER,FIBER,0.9999,"['OP', 'NP', 'UP', 'INT']","['0.9999', '3.9753', '1.7005', '1.1382']","['FIBER', 'POLYMER', 'GLASS CULLET', 'CF REPAIR FAIL', 'CF DEFECT']","['0.9928', '0.0045', '0.0025', '6.5931', '4.2208']","['CF', 'TFT']","['0.9999', '2.4180']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B4X02WE-1-3.jpg,TFT,TFT,0.9865,OP,NP,0.6940,POLYMER,PV-HOLE-T,0.8271,"['NP', 'UP', 'OP', 'INT']","['0.8271', '0.0631', '0.0580', '0.0516']","['PV-HOLE-T', 'POLYMER', 'FIBER', 'M1-ABNORMAL', 'CF DEFECT']","['0.6940', '0.1494', '0.0478', '0.0442', '0.0246']","['TFT', 'CF']","['0.9865', '0.0134']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_B63A1DE-1-3.jpg,CF,CF,0.9997,UP,NP,0.5946,PI SPOT-WITH PAR,CF REPAIR FAIL,0.7699,"['NP', 'UP', 'OP', 'INT']","['0.7699', '0.1518', '0.0781', '2.7939']","['CF REPAIR FAIL', 'CF DEFECT', 'PI SPOT-WITH PAR', 'FIBER', 'GLASS CULLET']","['0.5946', '0.1755', '0.1379', '0.0350', '0.0266']","['CF', 'TFT']","['0.9997', '0.0002']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B61V4MF-1-3.jpg,CF,CF,0.9999,NP,OP,0.7445,CF DEFECT,CF REPAIR FAIL,0.8852,"['OP', 'NP', 'INT', 'UP']","['0.8852', '0.1072', '0.0074', '1.5105']","['CF REPAIR FAIL', 'POLYMER', 'FIBER', 'GLASS CULLET', 'CF DEFECT']","['0.7445', '0.2143', '0.0194', '0.0173', '0.0037']","['CF', 'TFT']","['0.9999', '2.8894']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_7D3B5370G0CB-1-3.jpg,CF,CF,0.9999,NP,NP,0.4128,CF PS DEFORMATION,CF PS DEFORMATION,0.9638,"['NP', 'OP', 'UP', 'INT']","['0.9638', '0.0361', '1.2255', '1.6480']","['CF PS DEFORMATION', 'CF REPAIR FAIL', 'CF DEFECT', 'GLASS CULLET', 'POLYMER']","['0.4128', '0.4120', '0.1406', '0.0298', '0.0038']","['CF', 'TFT']","['0.9999', '1.1432']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B56H6FL-1-3.jpg,TFT,TFT,0.9999,UP,NP,0.8913,POLYMER,PV-HOLE-T,0.8315,"['NP', 'UP', 'OP', 'INT']","['0.8315', '0.1671', '0.0013', '1.7169']","['PV-HOLE-T', 'PI SPOT-WITH PAR', 'M1-ABNORMAL', 'FIBER', 'POLYMER']","['0.8913', '0.0365', '0.0239', '0.0227', '0.0174']","['TFT', 'CF']","['0.9999', '2.6218']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B61V3DG-1-3.jpg,CF,CF,0.9999,NP,NP,0.6383,CF REPAIR FAIL,CF REPAIR FAIL,0.9943,"['NP', 'OP', 'UP', 'INT']","['0.9943', '0.0032', '0.0023', '3.5125']","['CF REPAIR FAIL', 'CF DEFECT', 'CF PS DEFORMATION', 'FIBER', 'PI SPOT-WITH PAR']","['0.6383', '0.3534', '0.0054', '0.0010', '0.0008']","['CF', 'TFT']","['0.9999', '1.3699']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_B4UM8SC-1-3.jpg,TFT,TFT,0.9997,UP,NP,0.5699,FIBER,PV-HOLE-T,0.6888,"['NP', 'OP', 'UP', 'INT']","['0.6888', '0.2119', '0.0991', '2.6512']","['PV-HOLE-T', 'PI SPOT-WITH PAR', 'POLYMER', 'FIBER', 'ITO-RESIDUE-T']","['0.5699', '0.2354', '0.1257', '0.0271', '0.0152']","['TFT', 'CF']","['0.9997', '0.0002']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B5AY2QA-1-3.jpg,CF,CF,0.9999,NP,NP,0.9778,CF REPAIR FAIL,CF REPAIR FAIL,0.9982,"['NP', 'OP', 'INT', 'UP']","['0.9982', '0.0017', '4.8426', '3.3849']","['CF REPAIR FAIL', 'CF DEFECT', 'GLASS CULLET', 'CF PS DEFORMATION', 'FIBER']","['0.9778', '0.0208', '0.0006', '0.0005', '4.4354']","['CF', 'TFT']","['0.9999', '2.9439']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B66C6LP-1-4.jpg,TFT,TFT,0.9999,NP,NP,0.9965,AS-RESIDUE-E,AS-RESIDUE-E,0.9934,"['NP', 'OP', 'UP', 'INT']","['0.9934', '0.0059', '0.0005', '2.7038']","['AS-RESIDUE-E', 'PV-HOLE-T', 'POLYMER', 'M1-ABNORMAL', 'ITO-RESIDUE-T']","['0.9965', '0.0030', '0.0001', '0.0001', '1.9106']","['TFT', 'CF']","['0.9999', '1.0777']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/LIGHT METAL@UP@CF@Cell_H4CZ0QC-1-3.jpg,CF,CF,0.9999,UP,UP,0.9925,LIGHT METAL,LIGHT METAL,0.9894,"['UP', 'OP', 'NP', 'INT']","['0.9894', '0.0092', '0.0012', '1.9950']","['LIGHT METAL', 'GLASS CULLET', 'CF DEFECT', 'POLYMER', 'CF PS DEFORMATION']","['0.9925', '0.0031', '0.0023', '0.0013', '0.0003']","['CF', 'TFT']","['0.9999', '7.0615']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4VE8EA-1-3.jpg,CF,CF,0.9999,NP,NP,0.9711,CF PS DEFORMATION,CF PS DEFORMATION,0.9952,"['NP', 'OP', 'UP', 'INT']","['0.9952', '0.0047', '6.0749', '2.4017']","['CF PS DEFORMATION', 'CF DEFECT', 'CF REPAIR FAIL', 'GLASS CULLET', 'POLYMER']","['0.9711', '0.0221', '0.0044', '0.0022', '5.4718']","['CF', 'TFT']","['0.9999', '8.7639']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS BROKEN@INT@TFT@Cell_B4SL4CH-1-3.jpg,TFT,TFT,1.0,INT,INT,0.9953,GLASS BROKEN,ESD,0.9999,"['INT', 'UP', 'NP', 'OP']","['0.9999', '8.7492', '5.1967', '7.6643']","['ESD', 'GLASS BROKEN', 'PI SPOT-WITH PAR', 'PV-HOLE-T', 'M1-ABNORMAL']","['0.9953', '0.0043', '0.0001', '5.0217', '1.4553']","['TFT', 'CF']","['1.0', '1.8594']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B4X00YC-1-3.jpg,TFT,TFT,0.9995,OP,UP,0.8806,POLYMER,FIBER,0.9725,"['UP', 'NP', 'OP', 'INT']","['0.9725', '0.0263', '0.0005', '0.0005']","['FIBER', 'PI SPOT-WITH PAR', 'PV-HOLE-T', 'POLYMER', 'CF DEFECT']","['0.8806', '0.1072', '0.0074', '0.0022', '0.0009']","['TFT', 'CF']","['0.9995', '0.0004']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B5B27LC-1-3.jpg,CF,CF,0.9998,OP,OP,0.6530,FIBER,POLYMER,0.9963,"['OP', 'NP', 'UP', 'INT']","['0.9963', '0.0034', '0.0001', '1.2002']","['POLYMER', 'FIBER', 'GLASS CULLET', 'CF REPAIR FAIL', 'CF DEFECT']","['0.6530', '0.3409', '0.0031', '0.0024', '0.0002']","['CF', 'TFT']","['0.9998', '0.0001']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B4X284T-1-3.jpg,TFT,TFT,0.9999,NP,NP,0.4486,ITO-RESIDUE-T,ITO-RESIDUE-T,0.9507,"['NP', 'UP', 'OP', 'INT']","['0.9507', '0.0473', '0.0018', '0.0001']","['ITO-RESIDUE-T', 'PV-HOLE-T', 'M1-ABNORMAL', 'PI SPOT-WITH PAR', 'AS-RESIDUE-E']","['0.4486', '0.3318', '0.1442', '0.0523', '0.0148']","['TFT', 'CF']","['0.9999', '2.2485']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B50K1NC-2-3.jpg,TFT,TFT,0.9999,NP,NP,0.9024,ITO-RESIDUE-T,ITO-RESIDUE-T,0.9986,"['NP', 'UP', 'OP', 'INT']","['0.9986', '0.0008', '0.0003', '0.0002']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'PV-HOLE-T', 'AS-RESIDUE-E', 'CF PS DEFORMATION']","['0.9024', '0.0574', '0.0201', '0.0085', '0.0064']","['TFT', 'CF']","['0.9999', '7.1953']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B4VV1XB-1-3.jpg,CF,CF,0.9999,NP,NP,0.9794,CF REPAIR FAIL,CF REPAIR FAIL,0.9998,"['NP', 'OP', 'UP', 'INT']","['0.9998', '8.5072', '3.3534', '1.0424']","['CF REPAIR FAIL', 'CF DEFECT', 'CF PS DEFORMATION', 'GLASS CULLET', 'PI SPOT-WITH PAR']","['0.9794', '0.0201', '0.0003', '2.2134', '1.8893']","['CF', 'TFT']","['0.9999', '5.6831']"
/home/orin/L5C_CellFMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4WZ9JF-1-3.jpg,CF,CF,0.9998,NP,NP,0.9069,CF PS DEFORMATION,CF PS DEFORMATION,0.9285,"['NP', 'OP', 'UP', 'INT']","['0.9285', '0.0714', '2.1230', '1.0067']","['CF PS DEFORMATION', 'CF REPAIR FAIL', 'CF DEFECT', 'GLASS CULLET', 'POLYMER']","['0.9069', '0.0355', '0.0259', '0.0250', '0.0055']","['CF', 'TFT']","['0.9998', '0.0001']"
