ImagePath,Layer_1_True,Layer_1_ans,Layer_1_conf,Layer_2_True,Layer_2_ans,Layer_2_conf,sub_class,sub_conf,super_class,super_conf
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B5BL4HF-1-3.jpg,OP,OP,0.9121,POLYMER,POLYMER,0.9302,"['POLYMER', 'AS-RESIDUE-E', 'FIBER', 'PV-HOLE-T', 'M1-ABNORMAL']","['0.9302', '0.0373', '0.0125', '0.0091', '0.0069']","['OP', 'NP', 'UP', 'INT']","['0.9121', '0.0647', '0.0227', '0.0003']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B5D73XS-1-3.jpg,UP,UP,0.4702,POLYMER,PV-HOLE-T,0.5688,"['PV-HOLE-T', 'POLYMER', 'PI SPOT-WITH PAR', 'FIBER', 'ITO-RESIDUE-T']","['0.5688', '0.2624', '0.1571', '0.0064', '0.0014']","['UP', 'NP', 'OP', 'INT']","['0.4702', '0.4220', '0.1075', '4.0901']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@CF@Cell_B57S1MF-1-3.jpg,OP,OP,0.9994,POLYMER,POLYMER,0.6037,"['POLYMER', 'GLASS CULLET', 'CF DEFECT', 'PV-HOLE-T', 'GLASS BROKEN']","['0.6037', '0.3946', '0.0010', '0.0002', '0.0001']","['OP', 'NP', 'INT', 'UP']","['0.9994', '0.0004', '7.2958', '4.1703']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_B95E3EM-1-3.jpg,UP,UP,0.6982,FIBER,FIBER,0.6523,"['FIBER', 'POLYMER', 'AS-RESIDUE-E', 'PV-HOLE-T', 'PI SPOT-WITH PAR']","['0.6523', '0.2014', '0.1213', '0.0142', '0.0087']","['UP', 'OP', 'NP', 'INT']","['0.6982', '0.1838', '0.1178', '5.2816']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@TFT@Cell_B58Q52T-1-3.jpg,UP,UP,0.9878,PI SPOT-WITH PAR,PI SPOT-WITH PAR,0.5188,"['PI SPOT-WITH PAR', 'POLYMER', 'FIBER', 'LIGHT METAL', 'PV-HOLE-T']","['0.5188', '0.4782', '0.0025', '0.0001', '9.4652']","['UP', 'OP', 'NP', 'INT']","['0.9878', '0.0114', '0.0006', '1.4790']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B57S1HN-1-3.jpg,OP,OP,0.9743,POLYMER,POLYMER,0.9911,"['POLYMER', 'PV-HOLE-T', 'PI SPOT-WITH PAR', 'FIBER', 'AS-RESIDUE-E']","['0.9911', '0.0072', '0.0008', '0.0004', '0.0001']","['OP', 'UP', 'NP', 'INT']","['0.9743', '0.0162', '0.0093', '2.7816']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B4U62GC-1-3.jpg,NP,UP,0.9975,PV-HOLE-T,PI SPOT-WITH PAR,0.6103,"['PI SPOT-WITH PAR', 'FIBER', 'ITO-RESIDUE-T', 'AS-RESIDUE-E', 'POLYMER']","['0.6103', '0.3654', '0.0177', '0.0027', '0.0025']","['UP', 'NP', 'OP', 'INT']","['0.9975', '0.0021', '0.0002', '5.3015']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS CULLET@OP@CF@Cell_B5AS4CB-1-3.jpg,OP,OP,0.9997,GLASS CULLET,POLYMER,0.7315,"['POLYMER', 'GLASS CULLET', 'FIBER', 'CF REPAIR FAIL', 'LIGHT METAL']","['0.7315', '0.2359', '0.0311', '0.0007', '0.0002']","['OP', 'NP', 'UP', 'INT']","['0.9997', '0.0002', '4.2627', '3.1801']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B5B27LC-2-3.jpg,OP,OP,0.9991,FIBER,POLYMER,0.6164,"['POLYMER', 'FIBER', 'GLASS CULLET', 'CF REPAIR FAIL', 'CF DEFECT']","['0.6164', '0.3455', '0.0358', '0.0011', '0.0004']","['OP', 'NP', 'UP', 'INT']","['0.9991', '0.0005', '0.0002', '6.1133']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B55P0CP-1-3.jpg,NP,OP,0.7303,CF DEFECT,CF DEFECT,0.7546,"['CF DEFECT', 'GLASS CULLET', 'POLYMER', 'CF PS DEFORMATION', 'CF REPAIR FAIL']","['0.7546', '0.1983', '0.0368', '0.0077', '0.0017']","['OP', 'NP', 'UP', 'INT']","['0.7303', '0.2694', '0.0002', '1.8915']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B59E44Q-1-3.jpg,NP,UP,0.8890,CF DEFECT,LIGHT METAL,0.8991,"['LIGHT METAL', 'GLASS CULLET', 'CF DEFECT', 'POLYMER', 'CF REPAIR FAIL']","['0.8991', '0.0658', '0.0180', '0.0134', '0.0028']","['UP', 'OP', 'NP', 'INT']","['0.8890', '0.0869', '0.0239', '6.2160']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B5581MH-1-3.jpg,OP,OP,0.9997,FIBER,FIBER,0.9938,"['FIBER', 'POLYMER', 'GLASS CULLET', 'CF REPAIR FAIL', 'LIGHT METAL']","['0.9938', '0.0048', '0.0012', '6.7516', '1.8433']","['OP', 'UP', 'NP', 'INT']","['0.9997', '0.0001', '3.8810', '7.8591']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_HCJA4DD-1-3.jpg,UP,NP,0.8245,PI SPOT-WITH PAR,CF DEFECT,0.5632,"['CF DEFECT', 'PI SPOT-WITH PAR', 'CF REPAIR FAIL', 'POLYMER', 'CF PS DEFORMATION']","['0.5632', '0.1969', '0.1348', '0.0376', '0.0239']","['NP', 'UP', 'OP', 'INT']","['0.8245', '0.1447', '0.0217', '0.0089']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B60V5MF-1-3.jpg,NP,NP,0.9989,AS-RESIDUE-E,AS-RESIDUE-E,0.9842,"['AS-RESIDUE-E', 'ITO-RESIDUE-T', 'M1-ABNORMAL', 'PV-HOLE-T', 'POLYMER']","['0.9842', '0.0137', '0.0015', '0.0002', '0.0001']","['NP', 'OP', 'UP', 'INT']","['0.9989', '0.0008', '0.0002', '9.2011']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B4X02WE-1-3.jpg,OP,NP,0.6038,POLYMER,M1-ABNORMAL,0.3657,"['M1-ABNORMAL', 'PV-HOLE-T', 'POLYMER', 'ESD', 'AS-RESIDUE-E']","['0.3657', '0.3279', '0.1836', '0.0416', '0.0403']","['NP', 'INT', 'UP', 'OP']","['0.6038', '0.1959', '0.1156', '0.0845']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B61V4MF-1-3.jpg,NP,OP,0.9016,CF DEFECT,POLYMER,0.7765,"['POLYMER', 'GLASS CULLET', 'CF DEFECT', 'CF REPAIR FAIL', 'FIBER']","['0.7765', '0.0903', '0.0550', '0.0295', '0.0270']","['OP', 'NP', 'INT', 'UP']","['0.9016', '0.0950', '0.0028', '0.0004']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_7D3B5370G0CB-1-3.jpg,NP,NP,0.9895,CF PS DEFORMATION,CF PS DEFORMATION,0.9932,"['CF PS DEFORMATION', 'CF DEFECT', 'CF REPAIR FAIL', 'POLYMER', 'GLASS CULLET']","['0.9932', '0.0053', '0.0006', '0.0005', '0.0002']","['NP', 'OP', 'INT', 'UP']","['0.9895', '0.0104', '2.1858', '3.8972']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5BJ8AG-1-3.jpg,NP,NP,0.9626,AS-RESIDUE-E,AS-RESIDUE-E,0.9771,"['AS-RESIDUE-E', 'ITO-RESIDUE-T', 'POLYMER', 'M1-ABNORMAL', 'PV-HOLE-T']","['0.9771', '0.0201', '0.0021', '0.0004', '0.0001']","['NP', 'OP', 'UP', 'INT']","['0.9626', '0.0366', '0.0007', '3.1210']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B56H6FL-1-3.jpg,UP,UP,0.9510,POLYMER,FIBER,0.8732,"['FIBER', 'POLYMER', 'M1-ABNORMAL', 'PI SPOT-WITH PAR', 'PV-HOLE-T']","['0.8732', '0.0646', '0.0270', '0.0230', '0.0050']","['UP', 'OP', 'NP', 'INT']","['0.9510', '0.0289', '0.0167', '0.0032']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B61V3DG-1-3.jpg,NP,NP,0.8098,CF REPAIR FAIL,CF REPAIR FAIL,0.5422,"['CF REPAIR FAIL', 'CF DEFECT', 'POLYMER', 'FIBER', 'GLASS CULLET']","['0.5422', '0.3281', '0.0710', '0.0315', '0.0218']","['NP', 'OP', 'UP', 'INT']","['0.8098', '0.1865', '0.0036', '2.4967']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_B4UM8SC-1-3.jpg,UP,OP,0.9363,FIBER,POLYMER,0.8737,"['POLYMER', 'FIBER', 'AS-RESIDUE-E', 'PV-HOLE-T', 'PI SPOT-WITH PAR']","['0.8737', '0.0613', '0.0242', '0.0226', '0.0083']","['OP', 'NP', 'UP', 'INT']","['0.9363', '0.0473', '0.0162', '5.0172']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B5AY2QA-1-3.jpg,NP,NP,0.9933,CF REPAIR FAIL,CF REPAIR FAIL,0.9714,"['CF REPAIR FAIL', 'CF DEFECT', 'POLYMER', 'GLASS CULLET', 'M1-ABNORMAL']","['0.9714', '0.0261', '0.0008', '0.0004', '0.0004']","['NP', 'OP', 'UP', 'INT']","['0.9933', '0.0065', '0.0001', '2.3483']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/LIGHT METAL@UP@CF@Cell_H4CZ0QC-1-3.jpg,UP,UP,0.9966,LIGHT METAL,LIGHT METAL,0.9937,"['LIGHT METAL', 'GLASS CULLET', 'POLYMER', 'CF DEFECT', 'ESD']","['0.9937', '0.0025', '0.0017', '0.0008', '0.0006']","['UP', 'OP', 'NP', 'INT']","['0.9966', '0.0019', '0.0010', '0.0003']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4VE8EA-1-3.jpg,NP,NP,0.8842,CF PS DEFORMATION,CF PS DEFORMATION,0.4260,"['CF PS DEFORMATION', 'CF DEFECT', 'GLASS CULLET', 'CF REPAIR FAIL', 'POLYMER']","['0.4260', '0.4044', '0.0892', '0.0544', '0.0245']","['NP', 'OP', 'INT', 'UP']","['0.8842', '0.1156', '3.4259', '3.4208']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS BROKEN@INT@TFT@Cell_B4SL4CH-1-3.jpg,INT,INT,0.9988,GLASS BROKEN,ESD,0.6620,"['ESD', 'GLASS BROKEN', 'PI SPOT-WITH PAR', 'M1-ABNORMAL', 'PV-HOLE-T']","['0.6620', '0.3357', '0.0020', '4.9579', '5.0886']","['INT', 'UP', 'NP', 'OP']","['0.9988', '0.0011', '1.1680', '1.1549']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B4X00YC-1-3.jpg,OP,UP,0.6988,POLYMER,AS-RESIDUE-E,0.5459,"['AS-RESIDUE-E', 'FIBER', 'ITO-RESIDUE-T', 'PI SPOT-WITH PAR', 'POLYMER']","['0.5459', '0.3990', '0.0225', '0.0153', '0.0123']","['UP', 'NP', 'OP', 'INT']","['0.6988', '0.2460', '0.0549', '0.0001']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B5B27LC-1-3.jpg,OP,OP,0.9988,FIBER,FIBER,0.9604,"['FIBER', 'POLYMER', 'GLASS CULLET', 'M1-ABNORMAL', 'ITO-RESIDUE-T']","['0.9604', '0.0387', '0.0007', '3.6129', '2.1308']","['OP', 'UP', 'NP', 'INT']","['0.9988', '0.0009', '0.0001', '2.0042']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B4X284T-1-3.jpg,NP,NP,0.9392,ITO-RESIDUE-T,ITO-RESIDUE-T,0.6599,"['ITO-RESIDUE-T', 'AS-RESIDUE-E', 'M1-ABNORMAL', 'POLYMER', 'PI SPOT-WITH PAR']","['0.6599', '0.2121', '0.0517', '0.0303', '0.0263']","['NP', 'OP', 'UP', 'INT']","['0.9392', '0.0394', '0.0211', '0.0002']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B50K1NC-2-3.jpg,NP,NP,0.8999,ITO-RESIDUE-T,ITO-RESIDUE-T,0.6900,"['ITO-RESIDUE-T', 'AS-RESIDUE-E', 'POLYMER', 'M1-ABNORMAL', 'PI SPOT-WITH PAR']","['0.6900', '0.2237', '0.0576', '0.0190', '0.0061']","['NP', 'OP', 'UP', 'INT']","['0.8999', '0.0879', '0.0119', '0.0001']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B4VV1XB-1-3.jpg,NP,NP,0.9921,CF REPAIR FAIL,CF REPAIR FAIL,0.9849,"['CF REPAIR FAIL', 'CF DEFECT', 'POLYMER', 'GLASS CULLET', 'FIBER']","['0.9849', '0.0143', '0.0003', '0.0001', '9.0802']","['NP', 'OP', 'UP', 'INT']","['0.9921', '0.0077', '5.0317', '2.0186']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4WZ9JF-1-3.jpg,NP,NP,0.9593,CF PS DEFORMATION,CF PS DEFORMATION,0.9689,"['CF PS DEFORMATION', 'CF DEFECT', 'POLYMER', 'CF REPAIR FAIL', 'GLASS CULLET']","['0.9689', '0.0206', '0.0059', '0.0025', '0.0015']","['NP', 'OP', 'UP', 'INT']","['0.9593', '0.0405', '1.6173', '8.3021']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B4X00QF-1-3.jpg,UP,UP,0.5621,POLYMER,PV-HOLE-T,0.6583,"['PV-HOLE-T', 'PI SPOT-WITH PAR', 'ITO-RESIDUE-T', 'FIBER', 'AS-RESIDUE-E']","['0.6583', '0.1841', '0.0502', '0.0492', '0.0355']","['UP', 'NP', 'INT', 'OP']","['0.5621', '0.4359', '0.0013', '0.0005']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/LIGHT METAL@UP@CF@Cell_B4N61WG-1-3.jpg,UP,UP,0.9995,LIGHT METAL,LIGHT METAL,0.9983,"['LIGHT METAL', 'POLYMER', 'PI SPOT-WITH PAR', 'CF DEFECT', 'GLASS CULLET']","['0.9983', '0.0005', '0.0003', '0.0003', '0.0002']","['UP', 'NP', 'OP', 'INT']","['0.9995', '0.0003', '0.0001', '4.1834']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B55E1KF-1-3.jpg,OP,OP,0.9792,POLYMER,POLYMER,0.9854,"['POLYMER', 'PV-HOLE-T', 'PI SPOT-WITH PAR', 'M1-ABNORMAL', 'FIBER']","['0.9854', '0.0128', '0.0007', '0.0006', '0.0002']","['OP', 'UP', 'NP', 'INT']","['0.9792', '0.0119', '0.0087', '7.3185']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_B58743J-1-3.jpg,OP,OP,0.9998,FIBER,FIBER,0.9989,"['FIBER', 'GLASS CULLET', 'POLYMER', 'CF REPAIR FAIL', 'M1-ABNORMAL']","['0.9989', '0.0006', '0.0004', '7.5078', '3.5493']","['OP', 'NP', 'UP', 'INT']","['0.9998', '0.0001', '5.5687', '4.4242']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_B38X1PT-1-3.jpg,UP,UP,0.9999,PI SPOT-WITH PAR,PI SPOT-WITH PAR,0.9999,"['PI SPOT-WITH PAR', 'CF DEFECT', 'LIGHT METAL', 'CF PS DEFORMATION', 'ITO-RESIDUE-T']","['0.9999', '4.2899', '3.8467', '6.5748', '6.1413']","['UP', 'NP', 'OP', 'INT']","['0.9999', '5.0208', '4.4433', '2.8584']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B55Q4UA-1-3.jpg,OP,OP,0.9344,POLYMER,POLYMER,0.9304,"['POLYMER', 'FIBER', 'AS-RESIDUE-E', 'PV-HOLE-T', 'PI SPOT-WITH PAR']","['0.9304', '0.0345', '0.0132', '0.0081', '0.0057']","['OP', 'NP', 'UP', 'INT']","['0.9344', '0.0332', '0.0322', '2.2564']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5859EM-1-3.jpg,NP,NP,0.6975,AS-RESIDUE-E,CF DEFECT,0.3633,"['CF DEFECT', 'CF REPAIR FAIL', 'POLYMER', 'LIGHT METAL', 'GLASS CULLET']","['0.3633', '0.2199', '0.0924', '0.0469', '0.0464']","['NP', 'OP', 'UP', 'INT']","['0.6975', '0.1643', '0.1188', '0.0192']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B57L7EM-1-3.jpg,NP,NP,0.8935,ITO-RESIDUE-T,ITO-RESIDUE-T,0.7316,"['ITO-RESIDUE-T', 'M1-ABNORMAL', 'POLYMER', 'PI SPOT-WITH PAR', 'PV-HOLE-T']","['0.7316', '0.1635', '0.0381', '0.0298', '0.0214']","['NP', 'OP', 'UP', 'INT']","['0.8935', '0.0699', '0.0365', '8.0679']"
/home/orin/L5C_CellFMA/Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/LIGHT METAL@UP@CF@Cell_B3916EH-1-3.jpg,UP,UP,0.9989,LIGHT METAL,LIGHT METAL,0.9976,"['LIGHT METAL', 'GLASS CULLET', 'POLYMER', 'PI SPOT-WITH PAR', 'CF DEFECT']","['0.9976', '0.0008', '0.0005', '0.0004', '0.0003']","['UP', 'NP', 'OP', 'INT']","['0.9989', '0.0005', '0.0004', '1.3202']"
