ImagePath,super_conf,super_class,sub_conf,sub_class,subtwo_conf,subtwo_class,Layer_1_ans,Layer_1_conf,Layer_2_ans,Layer_2_conf,Layer_3_ans,Layer_3_conf,Layer_1_True,Layer_2_True,Layer_3_True
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@OP@CF@Cell_813B5286C0EE-1-3.jpg,"['0.9999', '1.8808']","['CF', 'TFT']","['0.6145', '0.3636', '0.0215', '0.0002']","['NP', 'OP', 'UP', 'INT']","['0.4001', '0.3919', '0.1080', '0.0300', '0.0249']","['POLYMER', 'CF DEFECT', 'CF REPAIR FAIL', 'LIGHT METAL', 'CF PS DEFORMATION']",CF,0.9999,NP,0.4001,POLYMER,0.6145,CF,OP,FIBER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B4X04UA-1-3.jpg,"['0.9999', '9.9045']","['TFT', 'CF']","['0.9327', '0.0417', '0.0253', '9.9141']","['NP', 'UP', 'OP', 'INT']","['0.7338', '0.2467', '0.0133', '0.0032', '0.0010']","['PV-HOLE-T', 'POLYMER', 'PI SPOT-WITH PAR', 'M1-ABNORMAL', 'FIBER']",TFT,0.9999,NP,0.7338,PV-HOLE-T,0.9327,TFT,NP,PV-HOLE-T
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4WZ62E-1-3.jpg,"['0.9999', '9.1203']","['CF', 'TFT']","['0.9998', '0.0001', '1.7515', '6.8478']","['NP', 'OP', 'UP', 'INT']","['0.9610', '0.0368', '0.0018', '0.0002', '3.6455']","['CF PS DEFORMATION', 'CF DEFECT', 'CF REPAIR FAIL', 'GLASS CULLET', 'M1-ABNORMAL']",CF,0.9999,NP,0.9610,CF PS DEFORMATION,0.9998,CF,NP,CF PS DEFORMATION
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ESD@INT@TFT@Cell_B6091NM-1-4.jpg,"['1.0', '1.1367']","['TFT', 'CF']","['0.9976', '0.0013', '0.0010', '5.1811']","['INT', 'NP', 'UP', 'OP']","['0.9952', '0.0026', '0.0020', '7.4190', '4.3780']","['GLASS BROKEN', 'ESD', 'M1-ABNORMAL', 'POLYMER', 'PV-HOLE-T']",TFT,1.0,INT,0.9952,GLASS BROKEN,0.9976,TFT,INT,ESD
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_B52E23E-1-3.jpg,"['0.9999', '1.3143']","['CF', 'TFT']","['0.9933', '0.0066', '1.1639', '2.0467']","['UP', 'NP', 'INT', 'OP']","['0.9468', '0.0325', '0.0155', '0.0049', '2.9344']","['PI SPOT-WITH PAR', 'LIGHT METAL', 'CF REPAIR FAIL', 'CF DEFECT', 'GLASS BROKEN']",CF,0.9999,UP,0.9468,PI SPOT-WITH PAR,0.9933,CF,UP,PI SPOT-WITH PAR
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B4VW1YC-1-3.jpg,"['0.9999', '9.6546']","['CF', 'TFT']","['0.9999', '9.2853', '7.0338', '1.0599']","['NP', 'OP', 'UP', 'INT']","['0.9995', '0.0003', '7.9335', '1.2339', '2.9036']","['CF DEFECT', 'CF PS DEFORMATION', 'CF REPAIR FAIL', 'GLASS CULLET', 'M1-ABNORMAL']",CF,0.9999,NP,0.9995,CF DEFECT,0.9999,CF,NP,CF DEFECT
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B51D0AT-1-3.jpg,"['0.9999', '9.8107']","['TFT', 'CF']","['0.8750', '0.1123', '0.0125', '5.1485']","['UP', 'OP', 'NP', 'INT']","['0.8243', '0.1583', '0.0053', '0.0050', '0.0032']","['POLYMER', 'PI SPOT-WITH PAR', 'PV-HOLE-T', 'M1-ABNORMAL', 'ITO-RESIDUE-T']",TFT,0.9999,UP,0.8243,POLYMER,0.8750,TFT,UP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B5AZ6CT-1-3.jpg,"['0.9999', '6.4276']","['TFT', 'CF']","['0.9941', '0.0051', '0.0007', '1.1768']","['UP', 'NP', 'OP', 'INT']","['0.8903', '0.0845', '0.0155', '0.0076', '0.0009']","['PI SPOT-WITH PAR', 'POLYMER', 'FIBER', 'PV-HOLE-T', 'ITO-RESIDUE-T']",TFT,0.9999,UP,0.8903,PI SPOT-WITH PAR,0.9941,TFT,UP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B61V4MF-1-3.jpg,"['0.9999', '6.0520']","['CF', 'TFT']","['0.7625', '0.2372', '0.0002', '2.8167']","['OP', 'NP', 'UP', 'INT']","['0.9747', '0.0127', '0.0091', '0.0022', '0.0005']","['CF REPAIR FAIL', 'FIBER', 'POLYMER', 'GLASS CULLET', 'CF DEFECT']",CF,0.9999,OP,0.9747,CF REPAIR FAIL,0.7625,CF,NP,CF DEFECT
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B4VE9XC-1-3.jpg,"['0.9999', '6.8197']","['TFT', 'CF']","['0.5280', '0.3417', '0.1263', '0.0038']","['OP', 'UP', 'NP', 'INT']","['0.9544', '0.0353', '0.0065', '0.0029', '0.0003']","['POLYMER', 'PV-HOLE-T', 'FIBER', 'PI SPOT-WITH PAR', 'AS-RESIDUE-E']",TFT,0.9999,OP,0.9544,POLYMER,0.5280,TFT,OP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/LIGHT METAL@UP@CF@Cell_B15C8PC-1-3.jpg,"['1.0', '5.5068']","['CF', 'TFT']","['0.9347', '0.0451', '0.0201', '6.8741']","['UP', 'NP', 'OP', 'INT']","['0.9887', '0.0046', '0.0042', '0.0015', '0.0003']","['LIGHT METAL', 'GLASS CULLET', 'CF REPAIR FAIL', 'CF DEFECT', 'CF PS DEFORMATION']",CF,1.0,UP,0.9887,LIGHT METAL,0.9347,CF,UP,LIGHT METAL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5BJ8UC-1-4.jpg,"['1.0', '1.1980']","['TFT', 'CF']","['0.9998', '0.0001', '1.5735', '8.6712']","['NP', 'INT', 'OP', 'UP']","['0.9996', '0.0002', '8.3448', '2.7966', '9.3884']","['M1-ABNORMAL', 'AS-RESIDUE-E', 'ITO-RESIDUE-T', 'ESD', 'POLYMER']",TFT,1.0,NP,0.9996,M1-ABNORMAL,0.9998,TFT,NP,AS-RESIDUE-E
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@TFT@Cell_B4VV5MC-1-3.jpg,"['0.9996', '0.0003']","['TFT', 'CF']","['0.9730', '0.0236', '0.0019', '0.0012']","['OP', 'NP', 'INT', 'UP']","['0.8933', '0.1057', '0.0005', '0.0001', '0.0001']","['POLYMER', 'PV-HOLE-T', 'PI SPOT-WITH PAR', 'GLASS BROKEN', 'GLASS CULLET']",TFT,0.9996,OP,0.8933,POLYMER,0.9730,TFT,OP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B58Q0PG-1-3.jpg,"['0.9999', '2.2603']","['TFT', 'CF']","['0.8904', '0.1028', '0.0067', '5.1873']","['UP', 'OP', 'NP', 'INT']","['0.7139', '0.2590', '0.0090', '0.0087', '0.0055']","['POLYMER', 'PI SPOT-WITH PAR', 'M1-ABNORMAL', 'FIBER', 'ITO-RESIDUE-T']",TFT,0.9999,UP,0.7139,POLYMER,0.8904,TFT,UP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/M1-ABNORMAL@NP@TFT@Array_B4S763A-1-3.jpg,"['0.9993', '0.0006']","['TFT', 'CF']","['0.9864', '0.0075', '0.0059', '3.8011']","['NP', 'OP', 'UP', 'INT']","['0.9565', '0.0398', '0.0012', '0.0011', '0.0004']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'CF PS DEFORMATION', 'PV-HOLE-T', 'AS-RESIDUE-E']",TFT,0.9993,NP,0.9565,ITO-RESIDUE-T,0.9864,TFT,NP,M1-ABNORMAL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/M1-ABNORMAL@NP@TFT@Array_B4MA0UR-1-3.jpg,"['0.9999', '2.6139']","['TFT', 'CF']","['0.9999', '4.3623', '3.2136', '6.8013']","['UP', 'OP', 'NP', 'INT']","['0.5617', '0.4381', '4.7022', '3.0419', '1.7000']","['FIBER', 'PI SPOT-WITH PAR', 'CF REPAIR FAIL', 'POLYMER', 'ESD']",TFT,0.9999,UP,0.5617,FIBER,0.9999,TFT,NP,M1-ABNORMAL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B54H6MB-1-3.jpg,"['0.9998', '0.0001']","['TFT', 'CF']","['0.9995', '0.0002', '0.0001', '2.7748']","['NP', 'UP', 'OP', 'INT']","['0.9934', '0.0048', '0.0009', '0.0003', '0.0002']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'CF PS DEFORMATION', 'PV-HOLE-T', 'PI SPOT-WITH PAR']",TFT,0.9998,NP,0.9934,ITO-RESIDUE-T,0.9995,TFT,NP,ITO-RESIDUE-T
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@OP@CF@Cell_B59E5QM-1-3.jpg,"['0.9999', '4.0401']","['CF', 'TFT']","['0.9999', '2.2022', '7.5579', '6.7982']","['OP', 'NP', 'UP', 'INT']","['0.9966', '0.0033', '1.1864', '6.5188', '9.6103']","['POLYMER', 'GLASS CULLET', 'FIBER', 'CF REPAIR FAIL', 'CF DEFECT']",CF,0.9999,OP,0.9966,POLYMER,0.9999,CF,OP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ESD@INT@TFT@Cell_B33W8ME-1-1.jpg,"['1.0', '9.2464']","['TFT', 'CF']","['1.0', '2.5327', '6.4649', '8.6217']","['INT', 'UP', 'OP', 'NP']","['1.0', '3.7101', '8.7949', '6.8865', '1.9432']","['ESD', 'GLASS BROKEN', 'POLYMER', 'M1-ABNORMAL', 'CF REPAIR FAIL']",TFT,1.0,INT,1.0,ESD,1.0,TFT,INT,ESD
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS CULLET@OP@CF@Cell_B4RR0TL-1-3.jpg,"['0.9999', '5.0054']","['CF', 'TFT']","['0.9999', '5.3745', '3.0970', '3.8562']","['OP', 'NP', 'UP', 'INT']","['0.9974', '0.0025', '5.8793', '4.4128', '2.1646']","['GLASS CULLET', 'POLYMER', 'LIGHT METAL', 'CF DEFECT', 'CF PS DEFORMATION']",CF,0.9999,OP,0.9974,GLASS CULLET,0.9999,CF,OP,GLASS CULLET
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF PS DEFORMATION@NP@CF@CF_B4WZ9JF-1-3.jpg,"['0.9999', '2.1620']","['CF', 'TFT']","['0.9998', '0.0001', '2.1441', '1.6977']","['NP', 'OP', 'UP', 'INT']","['0.9886', '0.0077', '0.0035', '2.0670', '8.2062']","['CF PS DEFORMATION', 'CF DEFECT', 'CF REPAIR FAIL', 'GLASS CULLET', 'M1-ABNORMAL']",CF,0.9999,NP,0.9886,CF PS DEFORMATION,0.9998,CF,NP,CF PS DEFORMATION
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5868YA-1-5.jpg,"['1.0', '3.1913']","['TFT', 'CF']","['0.9999', '5.6312', '3.3442', '1.0205']","['NP', 'INT', 'UP', 'OP']","['0.6556', '0.3439', '0.0003', '0.0001', '1.2847']","['AS-RESIDUE-E', 'M1-ABNORMAL', 'GLASS BROKEN', 'PV-HOLE-T', 'ESD']",TFT,1.0,NP,0.6556,AS-RESIDUE-E,0.9999,TFT,NP,AS-RESIDUE-E
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/GLASS CULLET@OP@CF@Cell_B4UZ7CN-1-3.jpg,"['0.9410', '0.0589']","['CF', 'TFT']","['0.9429', '0.0431', '0.0130', '0.0009']","['NP', 'INT', 'UP', 'OP']","['0.8024', '0.0626', '0.0323', '0.0313', '0.0283']","['CF DEFECT', 'CF PS DEFORMATION', 'GLASS BROKEN', 'GLASS CULLET', 'CF REPAIR FAIL']",CF,0.9410,NP,0.8024,CF DEFECT,0.9429,CF,OP,GLASS CULLET
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF REPAIR FAIL@NP@CF@CF_B61Y7QT-1-3.jpg,"['0.9999', '9.9823']","['CF', 'TFT']","['0.9992', '0.0007', '4.0854', '5.7628']","['NP', 'OP', 'UP', 'INT']","['0.9981', '0.0011', '0.0003', '0.0003', '1.0648']","['CF REPAIR FAIL', 'CF PS DEFORMATION', 'FIBER', 'CF DEFECT', 'POLYMER']",CF,0.9999,NP,0.9981,CF REPAIR FAIL,0.9992,CF,NP,CF REPAIR FAIL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/POLYMER@UP@TFT@Cell_B4RA4RD-1-3.jpg,"['0.9993', '0.0006']","['TFT', 'CF']","['0.8476', '0.1491', '0.0032', '1.4376']","['UP', 'OP', 'NP', 'INT']","['0.8793', '0.0789', '0.0356', '0.0026', '0.0012']","['PI SPOT-WITH PAR', 'POLYMER', 'FIBER', 'ITO-RESIDUE-T', 'PV-HOLE-T']",TFT,0.9993,UP,0.8793,PI SPOT-WITH PAR,0.8476,TFT,UP,POLYMER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ESD@INT@TFT@Cell_B27X01L-1-1.jpg,"['0.8617', '0.1382']","['CF', 'TFT']","['0.8992', '0.0919', '0.0054', '0.0033']","['INT', 'OP', 'NP', 'UP']","['0.9733', '0.0190', '0.0050', '0.0011', '0.0007']","['ESD', 'POLYMER', 'CF REPAIR FAIL', 'GLASS BROKEN', 'PI SPOT-WITH PAR']",CF,0.8617,INT,0.9733,ESD,0.8992,TFT,INT,ESD
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/FIBER@UP@TFT@Cell_B4LP8XG-1-3.jpg,"['0.9999', '5.7128']","['TFT', 'CF']","['0.6157', '0.3445', '0.0337', '0.0059']","['UP', 'INT', 'OP', 'NP']","['0.4622', '0.3116', '0.1039', '0.0721', '0.0213']","['POLYMER', 'ESD', 'PI SPOT-WITH PAR', 'FIBER', 'M1-ABNORMAL']",TFT,0.9999,UP,0.4622,POLYMER,0.6157,TFT,UP,FIBER
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/M1-ABNORMAL@NP@TFT@Array_BBKP73S-1-3.jpg,"['1.0', '7.1490']","['TFT', 'CF']","['0.9999', '2.1706', '1.1619', '5.5170']","['NP', 'INT', 'UP', 'OP']","['0.9999', '8.7827', '2.6278', '7.0793', '3.4550']","['M1-ABNORMAL', 'GLASS BROKEN', 'ESD', 'CF PS DEFORMATION', 'AS-RESIDUE-E']",TFT,1.0,NP,0.9999,M1-ABNORMAL,0.9999,TFT,NP,M1-ABNORMAL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B67F2UJ-1-5.jpg,"['1.0', '1.8955']","['TFT', 'CF']","['0.9999', '2.7052', '2.2141', '8.6404']","['NP', 'INT', 'OP', 'UP']","['0.7424', '0.2574', '5.9329', '4.9105', '2.1334']","['M1-ABNORMAL', 'AS-RESIDUE-E', 'PV-HOLE-T', 'ITO-RESIDUE-T', 'GLASS BROKEN']",TFT,1.0,NP,0.7424,M1-ABNORMAL,0.9999,TFT,NP,AS-RESIDUE-E
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/AS-RESIDUE-E@NP@TFT@Array_B5BJ8UC-1-5.jpg,"['1.0', '1.0453']","['TFT', 'CF']","['0.9999', '5.1787', '3.1475', '1.4219']","['NP', 'INT', 'OP', 'UP']","['0.9789', '0.0134', '0.0073', '0.0002', '4.3831']","['M1-ABNORMAL', 'AS-RESIDUE-E', 'PV-HOLE-T', 'GLASS BROKEN', 'POLYMER']",TFT,1.0,NP,0.9789,M1-ABNORMAL,0.9999,TFT,NP,AS-RESIDUE-E
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B55P0CP-1-3.jpg,"['0.9999', '4.9716']","['CF', 'TFT']","['0.9999', '5.8513', '1.7942', '6.8215']","['NP', 'OP', 'UP', 'INT']","['0.8926', '0.1057', '0.0010', '0.0005', '5.8092']","['CF DEFECT', 'CF PS DEFORMATION', 'CF REPAIR FAIL', 'GLASS CULLET', 'LIGHT METAL']",CF,0.9999,NP,0.8926,CF DEFECT,0.9999,CF,NP,CF DEFECT
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PI SPOT-WITH PAR@UP@CF@Cell_B4U77KL-1-5.jpg,"['0.9999', '2.3282']","['CF', 'TFT']","['0.9640', '0.0342', '0.0017', '6.8956']","['UP', 'NP', 'OP', 'INT']","['0.9816', '0.0090', '0.0056', '0.0023', '0.0010']","['PI SPOT-WITH PAR', 'CF DEFECT', 'CF PS DEFORMATION', 'CF REPAIR FAIL', 'LIGHT METAL']",CF,0.9999,UP,0.9816,PI SPOT-WITH PAR,0.9640,CF,UP,PI SPOT-WITH PAR
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/LIGHT METAL@UP@CF@Cell_B38N2AB-1-3.jpg,"['1.0', '1.0319']","['CF', 'TFT']","['0.9998', '0.0001', '2.6059', '5.6690']","['UP', 'OP', 'NP', 'INT']","['0.9999', '5.0983', '8.0975', '4.9197', '4.6458']","['LIGHT METAL', 'POLYMER', 'ITO-RESIDUE-T', 'PI SPOT-WITH PAR', 'FIBER']",CF,1.0,UP,0.9999,LIGHT METAL,0.9998,CF,UP,LIGHT METAL
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B4X284T-1-3.jpg,"['0.9998', '0.0001']","['TFT', 'CF']","['0.9957', '0.0040', '0.0001', '3.0989']","['NP', 'OP', 'UP', 'INT']","['0.6225', '0.3483', '0.0190', '0.0070', '0.0025']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'AS-RESIDUE-E', 'CF PS DEFORMATION', 'PV-HOLE-T']",TFT,0.9998,NP,0.6225,ITO-RESIDUE-T,0.9957,TFT,NP,ITO-RESIDUE-T
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/CF DEFECT@NP@CF@CF_B4VL0BB-1-3.jpg,"['0.9981', '0.0018']","['CF', 'TFT']","['0.9987', '0.0005', '0.0005', '0.0001']","['NP', 'OP', 'INT', 'UP']","['0.5571', '0.4184', '0.0180', '0.0030', '0.0011']","['CF DEFECT', 'CF REPAIR FAIL', 'CF PS DEFORMATION', 'POLYMER', 'GLASS CULLET']",CF,0.9981,NP,0.5571,CF DEFECT,0.9987,CF,NP,CF DEFECT
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/ITO-RESIDUE-T@NP@TFT@Array_B5AY0AQ-1-3.jpg,"['0.9999', '9.4124']","['TFT', 'CF']","['0.9985', '0.0011', '0.0002', '2.8159']","['NP', 'OP', 'UP', 'INT']","['0.8779', '0.1159', '0.0049', '0.0005', '0.0004']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'CF PS DEFORMATION', 'PV-HOLE-T', 'PI SPOT-WITH PAR']",TFT,0.9999,NP,0.8779,ITO-RESIDUE-T,0.9985,TFT,NP,ITO-RESIDUE-T
/home/agx/AUO_FMA/D3_Deep-Hierarchical-Classification_ImageRecognition/dataset/detect_imgs/PV-HOLE-T@NP@TFT@Array_B5D78PC-1-3.jpg,"['0.9999', '9.1686']","['TFT', 'CF']","['0.9997', '0.0001', '9.4586', '2.8258']","['NP', 'UP', 'INT', 'OP']","['0.5807', '0.4093', '0.0062', '0.0010', '0.0010']","['ITO-RESIDUE-T', 'M1-ABNORMAL', 'AS-RESIDUE-E', 'CF PS DEFORMATION', 'PV-HOLE-T']",TFT,0.9999,NP,0.5807,ITO-RESIDUE-T,0.9997,TFT,NP,PV-HOLE-T
